Segment,Country,Product,Discount Band,Units Sold,Manufacturing Price,Sale Price,Gross Sales,Discounts,Sales,COGS,Profit,Date,Month Number,Month Name,Year
Midmarket,France, Paseo , Medium ,2101,10,15,31515,2206.05,29308.95,21010,8298.95,8/1/2014,8, August ,2014
Government,Canada, Paseo , High ,2104.5,10,350,736575,81023.25,655551.75,547170,108381.75,7/1/2014,7, July ,2014
Channel Partners,Canada, VTT , High ,2109,250,12,25308,3036.96,22271.04,6327,15944.04,5/1/2014,5, May ,2014
Enterprise,Mexico, Velo , Medium ,2110,120,125,263750,23737.5,240012.5,253200,-13187.5,9/1/2014,9, September ,2014
Midmarket,Germany, Paseo , Medium ,2116,10,15,31740,1587,30153,21160,8993,12/1/2013,12, December ,2013
Government,Germany, Paseo , Medium ,2125,10,7,14875,1041.25,13833.75,10625,3208.75,12/1/2013,12, December ,2013
Small Business,Canada, VTT , Medium ,2134,250,300,640200,51216,588984,533500,55484,9/1/2014,9, September ,2014
Government,France, Paseo , Medium ,2136,10,7,14952,747.6,14204.4,10680,3524.4,12/1/2013,12, December ,2013
Channel Partners,United States of America, Amarilla ,,2141,260,12,25692,0,25692,6423,19269,8/1/2014,8, August ,2014
Enterprise,Mexico, Paseo , Low ,2145,10,125,268125,5362.5,262762.5,257400,5362.5,10/1/2013,10, October ,2013
Enterprise,Mexico, Velo , Low ,2145,120,125,268125,5362.5,262762.5,257400,5362.5,10/1/2013,10, October ,2013
Government,France, Carretera , Low ,2145,3,7,15015,300.3,14714.7,10725,3989.7,11/1/2013,11, November ,2013
Government,Germany, Paseo , Medium ,2146,10,350,751100,60088,691012,557960,133052,11/1/2013,11, November ,2013
Government,Germany, Montana ,,2146,5,7,15022,0,15022,10730,4292,9/1/2014,9, September ,2014
Small Business,Mexico, Paseo , High ,2150,10,300,645000,77400,567600,537500,30100,11/1/2014,11, November ,2014
Small Business,France, VTT ,,2151,250,300,645300,0,645300,537750,107550,9/1/2014,9, September ,2014
Government,Mexico, Paseo , High ,2151,10,350,752850,112927.5,639922.5,559260,80662.5,11/1/2013,11, November ,2013
Midmarket,Canada, Paseo ,,2152,10,15,32280,0,32280,21520,10760,12/1/2013,12, December ,2013
Government,France, Carretera , Low ,2155,3,350,754250,7542.5,746707.5,560300,186407.5,12/1/2014,12, December ,2014
Government,France, Paseo , Low ,2155,10,350,754250,7542.5,746707.5,560300,186407.5,12/1/2014,12, December ,2014
Enterprise,Mexico, Carretera , High ,2156,3,125,269500,32340,237160,258720,-21560,10/1/2014,10, October ,2014
Enterprise,Mexico, Paseo , High ,2156,10,125,269500,32340,237160,258720,-21560,10/1/2014,10, October ,2014
Midmarket,Mexico, Montana , High ,2157,5,15,32355,3559.05,28795.95,21570,7225.95,12/1/2014,12, December ,2014
Midmarket,Mexico, Amarilla , High ,2157,260,15,32355,3559.05,28795.95,21570,7225.95,12/1/2014,12, December ,2014
Channel Partners,Germany, Velo ,,2161,120,12,25932,0,25932,6483,19449,3/1/2014,3, March ,2014
Midmarket,France, Paseo , High ,2167,10,15,32505,3250.5,29254.5,21670,7584.5,10/1/2013,10, October ,2013
Midmarket,France, VTT , High ,2167,250,15,32505,3250.5,29254.5,21670,7584.5,10/1/2013,10, October ,2013
Government,France, Velo , Low ,2177,120,350,761950,30478,731472,566020,165452,10/1/2014,10, October ,2014
Government,France, VTT , Low ,2177,250,350,761950,30478,731472,566020,165452,10/1/2014,10, October ,2014
Midmarket,France, Carretera ,,2178,3,15,32670,0,32670,21780,10890,6/1/2014,6, June ,2014
Midmarket,France, VTT ,,2178,250,15,32670,0,32670,21780,10890,6/1/2014,6, June ,2014
Small Business,France, Carretera , Medium ,2181,3,300,654300,45801,608499,545250,63249,10/1/2014,10, October ,2014
Small Business,France, Montana , Medium ,2181,5,300,654300,45801,608499,545250,63249,10/1/2014,10, October ,2014
Midmarket,United States of America, Paseo , Medium ,2198,10,15,32970,1978.2,30991.8,21980,9011.8,8/1/2014,8, August ,2014
Midmarket,Mexico, Montana , Low ,2214,5,15,33210,332.1,32877.9,22140,10737.9,3/1/2014,3, March ,2014
Channel Partners,Germany, VTT , Medium ,2215,250,12,26580,1860.6,24719.4,6645,18074.4,9/1/2013,9, September ,2013
Channel Partners,Canada, Paseo , High ,2222,10,12,26664,3732.96,22931.04,6666,16265.04,11/1/2013,11, November ,2013
Government,Canada, Montana , High ,2227.5,5,350,779625,109147.5,670477.5,579150,91327.5,1/1/2014,1, January ,2014
Channel Partners,France, VTT , Medium ,2234,250,12,26808,2412.72,24395.28,6702,17693.28,9/1/2013,9, September ,2013
Government,Canada, Amarilla , High ,2240,260,350,784000,78400,705600,582400,123200,2/1/2014,2, February ,2014
Government,Mexico, Montana , High ,2255,5,20,45100,5863,39237,22550,16687,7/1/2014,7, July ,2014
Midmarket,France, Paseo , Low ,2261,10,15,33915,1356.6,32558.4,22610,9948.4,12/1/2013,12, December ,2013
Enterprise,Germany, Amarilla , Low ,2276,260,125,284500,5690,278810,273120,5690,5/1/2014,5, May ,2014
Small Business,United States of America, Velo , High ,2294,120,300,688200,68820,619380,573500,45880,10/1/2013,10, October ,2013
Small Business,United States of America, VTT , High ,2294,250,300,688200,68820,619380,573500,45880,10/1/2013,10, October ,2013
Midmarket,France, Paseo , Low ,2296,10,15,34440,344.4,34095.6,22960,11135.6,2/1/2014,2, February ,2014
Government,Germany, VTT , Medium ,2297,250,20,45940,2297,43643,22970,20673,11/1/2013,11, November ,2013
Channel Partners,Canada, Carretera , Medium ,2299,3,12,27588,1655.28,25932.72,6897,19035.72,10/1/2013,10, October ,2013
Channel Partners,Canada, Paseo , Medium ,2299,10,12,27588,1655.28,25932.72,6897,19035.72,10/1/2013,10, October ,2013
Midmarket,Canada, Carretera , High ,2300,3,15,34500,4830,29670,23000,6670,12/1/2014,12, December ,2014
Midmarket,Canada, Montana , High ,2300,5,15,34500,4830,29670,23000,6670,12/1/2014,12, December ,2014
Small Business,United States of America, Montana , Low ,2301,5,300,690300,6903,683397,575250,108147,4/1/2014,4, April ,2014
Government,United States of America, Montana , High ,2313,5,350,809550,80955,728595,601380,127215,5/1/2014,5, May ,2014
Channel Partners,Canada, Montana , Medium ,2321,5,12,27852,2506.68,25345.32,6963,18382.32,11/1/2014,11, November ,2014
Government,United States of America, Paseo , Medium ,2327,10,7,16289,814.45,15474.55,11635,3839.55,5/1/2014,5, May ,2014
Government,United States of America, Montana , High ,2328,5,7,16296,1629.6,14666.4,11640,3026.4,9/1/2014,9, September ,2014
Government,Germany, Velo , Medium ,2338,120,7,16366,1309.28,15056.72,11690,3366.72,6/1/2014,6, June ,2014
Government,Germany, VTT , Medium ,2338,250,7,16366,1309.28,15056.72,11690,3366.72,6/1/2014,6, June ,2014
Channel Partners,Mexico, Montana , Medium ,2340,5,12,28080,1965.6,26114.4,7020,19094.4,1/1/2014,1, January ,2014
Channel Partners,Germany, Montana , Medium ,2342,5,12,28104,1405.2,26698.8,7026,19672.8,11/1/2014,11, November ,2014
Channel Partners,France, Montana , Medium ,2342,5,12,28104,1967.28,26136.72,7026,19110.72,11/1/2014,11, November ,2014
Government,Canada, Paseo , Medium ,2349,10,7,16443,822.15,15620.85,11745,3875.85,9/1/2013,9, September ,2013
Midmarket,Canada, Paseo , Low ,2363,10,15,35445,708.9,34736.1,23630,11106.1,2/1/2014,2, February ,2014
Enterprise,France, Paseo , Medium ,2385,10,125,298125,14906.25,283218.75,286200,-2981.25,3/1/2014,3, March ,2014
Enterprise,United States of America, VTT , High ,2387,250,125,298375,35805,262570,286440,-23870,11/1/2014,11, November ,2014
Government,Canada, Paseo , High ,2394,10,20,47880,5266.8,42613.2,23940,18673.2,8/1/2014,8, August ,2014
Government,Germany, Paseo , Medium ,2409,10,7,16863,1349.04,15513.96,12045,3468.96,9/1/2013,9, September ,2013
Enterprise,Canada, Carretera , High ,2416,3,125,302000,36240,265760,289920,-24160,9/1/2013,9, September ,2013
Government,Mexico, Paseo , Medium ,2417,10,350,845950,76135.5,769814.5,628420,141394.5,1/1/2014,1, January ,2014
Government,Mexico, Montana , High ,2420,5,7,16940,2032.8,14907.2,12100,2807.2,9/1/2014,9, September ,2014
Channel Partners,France, Paseo , High ,2425.5,10,12,29106,3201.66,25904.34,7276.5,18627.84,7/1/2014,7, July ,2014
Government,Canada, Paseo , High ,2428,10,20,48560,6798.4,41761.6,24280,17481.6,3/1/2014,3, March ,2014
Channel Partners,Canada, Paseo , Medium ,2431,10,12,29172,1458.6,27713.4,7293,20420.4,12/1/2014,12, December ,2014
Channel Partners,Canada, Velo , Medium ,2431,120,12,29172,1458.6,27713.4,7293,20420.4,12/1/2014,12, December ,2014
Small Business,France, Paseo , Low ,2434.5,10,300,730350,21910.5,708439.5,608625,99814.5,1/1/2014,1, January ,2014
Small Business,Canada, VTT , Medium ,2436,250,300,730800,43848,686952,609000,77952,12/1/2013,12, December ,2013
Enterprise,United States of America, Velo , High ,2438,120,125,304750,45712.5,259037.5,292560,-33522.5,12/1/2013,12, December ,2013
Enterprise,France, Carretera , High ,2441,3,125,305125,33563.75,271561.25,292920,-21358.75,10/1/2014,10, October ,2014
Enterprise,France, Paseo , High ,2441,10,125,305125,33563.75,271561.25,292920,-21358.75,10/1/2014,10, October ,2014
Small Business,Mexico, Paseo , Medium ,2460,10,300,738000,59040,678960,615000,63960,6/1/2014,6, June ,2014
Small Business,Mexico, Amarilla , Medium ,2460,260,300,738000,59040,678960,615000,63960,6/1/2014,6, June ,2014
Small Business,United States of America, Velo , High ,2460,120,300,738000,103320,634680,615000,19680,7/1/2014,7, July ,2014
Midmarket,Mexico, Carretera ,,2470,3,15,37050,0,37050,24700,12350,6/1/2014,6, June ,2014
Midmarket,Mexico, Montana ,,2470,5,15,37050,0,37050,24700,12350,6/1/2014,6, June ,2014
Midmarket,Canada, Paseo , High ,2470,10,15,37050,5187,31863,24700,7163,9/1/2013,9, September ,2013
Midmarket,Mexico, Paseo ,,2472,10,15,37080,0,37080,24720,12360,9/1/2014,9, September ,2014
Channel Partners,France, Amarilla , High ,2475,260,12,29700,4158,25542,7425,18117,8/1/2014,8, August ,2014
Small Business,France, Amarilla , High ,2475,260,300,742500,111375,631125,618750,12375,3/1/2014,3, March ,2014
Channel Partners,Germany, VTT , Low ,2479,250,12,29748,892.44,28855.56,7437,21418.56,1/1/2014,1, January ,2014
Government,France, Carretera , Medium ,2487,3,7,17409,870.45,16538.55,12435,4103.55,12/1/2014,12, December ,2014
Government,France, VTT , Medium ,2487,250,7,17409,870.45,16538.55,12435,4103.55,12/1/2014,12, December ,2014
Small Business,United States of America, Montana , Low ,2498,5,300,749400,7494,741906,624500,117406,9/1/2013,9, September ,2013
Enterprise,Germany, Montana , Medium ,2500,5,125,312500,21875,290625,300000,-9375,11/1/2013,11, November ,2013
Midmarket,France, Montana , Medium ,2501,5,15,37515,3001.2,34513.8,25010,9503.8,3/1/2014,3, March ,2014
Channel Partners,Canada, Montana ,,2518,5,12,30216,0,30216,7554,22662,6/1/2014,6, June ,2014
Channel Partners,Canada, Paseo ,,2518,10,12,30216,0,30216,7554,22662,6/1/2014,6, June ,2014
Government,France, Carretera , High ,2521.5,3,20,50430,6051.6,44378.4,25215,19163.4,1/1/2014,1, January ,2014
Government,United States of America, Carretera , Low ,2529,3,7,17703,177.03,17525.97,12645,4880.97,7/1/2014,7, July ,2014
Enterprise,Canada, VTT , High ,2529,250,125,316125,31612.5,284512.5,303480,-18967.5,11/1/2014,11, November ,2014
Government,France, Paseo , High ,2532,10,7,17724,1949.64,15774.36,12660,3114.36,4/1/2014,4, April ,2014
Government,Mexico, Paseo , High ,2535,10,7,17745,2661.75,15083.25,12675,2408.25,4/1/2014,4, April ,2014
Small Business,Germany, Velo , High ,2536,120,300,760800,106512,654288,634000,20288,11/1/2013,11, November ,2013
Small Business,United States of America, VTT , High ,2541,250,300,762300,106722,655578,635250,20328,8/1/2014,8, August ,2014
Midmarket,United States of America, Amarilla , High ,2548,260,15,38220,4586.4,33633.6,25480,8153.6,11/1/2013,11, November ,2013
Midmarket,Canada, Paseo , High ,2559,10,15,38385,5757.75,32627.25,25590,7037.25,8/1/2014,8, August ,2014
Small Business,Mexico, Paseo , Medium ,2565,10,300,769500,69255,700245,641250,58995,1/1/2014,1, January ,2014
Midmarket,United States of America, Carretera , High ,2567,3,15,38505,5005.65,33499.35,25670,7829.35,6/1/2014,6, June ,2014
Midmarket,United States of America, VTT , High ,2567,250,15,38505,5005.65,33499.35,25670,7829.35,6/1/2014,6, June ,2014
Channel Partners,Germany, Amarilla , High ,2574,260,12,30888,3088.8,27799.2,7722,20077.2,8/1/2014,8, August ,2014
Small Business,United States of America, Velo , High ,2574,120,300,772200,115830,656370,643500,12870,11/1/2013,11, November ,2013
Government,Mexico, Carretera , High ,2579,3,20,51580,7221.2,44358.8,25790,18568.8,4/1/2014,4, April ,2014
Government,Germany, Carretera , Low ,2580,3,20,51600,1548,50052,25800,24252,4/1/2014,4, April ,2014
Small Business,Mexico, Velo , High ,2605,120,300,781500,101595,679905,651250,28655,11/1/2013,11, November ,2013
Midmarket,France, Paseo , Medium ,2620,10,15,39300,1965,37335,26200,11135,9/1/2014,9, September ,2014
Midmarket,Mexico, Velo , Medium ,2628,120,15,39420,3547.8,35872.2,26280,9592.2,4/1/2014,4, April ,2014
Government,Mexico, Amarilla , High ,2629,260,20,52580,5783.8,46796.2,26290,20506.2,1/1/2014,1, January ,2014
Government,Canada, Paseo , High ,2632,10,350,921200,119756,801444,684320,117124,6/1/2014,6, June ,2014
Government,Canada, Velo , High ,2632,120,350,921200,119756,801444,684320,117124,6/1/2014,6, June ,2014
Government,United States of America, Paseo , High ,2641,10,20,52820,6866.6,45953.4,26410,19543.4,2/1/2014,2, February ,2014
Government,Canada, Velo , Low ,2646,120,20,52920,2116.8,50803.2,26460,24343.2,9/1/2013,9, September ,2013
Small Business,Germany, VTT , Medium ,2659,250,300,797700,71793,725907,664750,61157,2/1/2014,2, February ,2014
Channel Partners,Mexico, Montana , High ,2661,5,12,31932,3831.84,28100.16,7983,20117.16,5/1/2014,5, May ,2014
Government,United States of America, Paseo , Medium ,2663,10,20,53260,2663,50597,26630,23967,12/1/2014,12, December ,2014
Government,United States of America, VTT , Medium ,2663,250,20,53260,2663,50597,26630,23967,12/1/2014,12, December ,2014
Government,Germany, Velo , High ,2665,120,7,18655,1865.5,16789.5,13325,3464.5,11/1/2014,11, November ,2014
Enterprise,Canada, Montana ,,2665.5,5,125,333187.5,0,333187.5,319860,13327.5,7/1/2014,7, July ,2014
Channel Partners,France, Carretera , Low ,2671,3,12,32052,320.52,31731.48,8013,23718.48,9/1/2014,9, September ,2014
Government,France, VTT , Medium ,2682,250,20,53640,4827.6,48812.4,26820,21992.4,11/1/2013,11, November ,2013
Midmarket,Canada, Carretera , High ,2689,3,15,40335,4840.2,35494.8,26890,8604.8,11/1/2014,11, November ,2014
Government,Mexico, Paseo , Medium ,2689,10,7,18823,941.15,17881.85,13445,4436.85,10/1/2014,10, October ,2014
Government,Mexico, VTT , Medium ,2689,250,7,18823,941.15,17881.85,13445,4436.85,10/1/2014,10, October ,2014
Government,France, Paseo , High ,2696,10,7,18872,2453.36,16418.64,13480,2938.64,8/1/2014,8, August ,2014
Government,Mexico, Carretera , High ,2706,3,7,18942,2083.62,16858.38,13530,3328.38,11/1/2013,11, November ,2013
Government,Germany, Paseo , High ,2708,10,20,54160,7040.8,47119.2,27080,20039.2,2/1/2014,2, February ,2014
Channel Partners,United States of America, Montana , Medium ,2723,5,12,32676,1960.56,30715.44,8169,22546.44,11/1/2014,11, November ,2014
Enterprise,Canada, Paseo , Low ,2729,10,125,341125,6822.5,334302.5,327480,6822.5,12/1/2014,12, December ,2014
Enterprise,Canada, VTT , Low ,2729,250,125,341125,6822.5,334302.5,327480,6822.5,12/1/2014,12, December ,2014
Government,Canada, Montana , High ,2734,5,7,19138,2296.56,16841.44,13670,3171.44,10/1/2014,10, October ,2014
Government,Canada, Amarilla , High ,2734,260,7,19138,2296.56,16841.44,13670,3171.44,10/1/2014,10, October ,2014
Small Business,Mexico, VTT , Medium ,2747,250,300,824100,57687,766413,686750,79663,2/1/2014,2, February ,2014
Government,France, Amarilla ,,2750,260,350,962500,0,962500,715000,247500,2/1/2014,2, February ,2014
Enterprise,United States of America, Velo , Medium ,2755,120,125,344375,20662.5,323712.5,330600,-6887.5,2/1/2014,2, February ,2014
Channel Partners,Canada, Amarilla , High ,2761,260,12,33132,3975.84,29156.16,8283,20873.16,9/1/2013,9, September ,2013
Channel Partners,Mexico, Paseo , Medium ,2763,10,12,33156,2320.92,30835.08,8289,22546.08,11/1/2013,11, November ,2013
Enterprise,Germany, Carretera , High ,2767,3,125,345875,51881.25,293993.75,332040,-38046.25,8/1/2014,8, August ,2014
Midmarket,Mexico, Carretera , Medium ,2791,3,15,41865,2093.25,39771.75,27910,11861.75,11/1/2014,11, November ,2014
Enterprise,United States of America, Montana , Medium ,2797,5,125,349625,31466.25,318158.75,335640,-17481.25,12/1/2014,12, December ,2014
Enterprise,United States of America, Paseo , Medium ,2797,10,125,349625,31466.25,318158.75,335640,-17481.25,12/1/2014,12, December ,2014
Government,France, Velo , High ,2805,120,20,56100,6171,49929,28050,21879,9/1/2013,9, September ,2013
Government,United States of America, VTT , High ,2807,250,350,982450,98245,884205,729820,154385,8/1/2014,8, August ,2014
Small Business,Germany, Carretera , High ,2811,3,300,843300,92763,750537,702750,47787,7/1/2014,7, July ,2014
Enterprise,United States of America, Velo ,,2821,120,125,352625,0,352625,338520,14105,8/1/2014,8, August ,2014
Enterprise,Mexico, Carretera , High ,2821,3,125,352625,49367.5,303257.5,338520,-35262.5,12/1/2013,12, December ,2013
Midmarket,France, Velo , High ,2826,120,15,42390,6358.5,36031.5,28260,7771.5,5/1/2014,5, May ,2014
Government,United States of America, Velo , Medium ,2832,120,20,56640,2832,53808,28320,25488,8/1/2014,8, August ,2014
Channel Partners,Germany, VTT ,,2838,250,12,34056,0,34056,8514,25542,4/1/2014,4, April ,2014
Small Business,United States of America, VTT , Low ,2844,250,300,853200,25596,827604,711000,116604,2/1/2014,2, February ,2014
Midmarket,Canada, Carretera , Medium ,2844,3,15,42660,2559.6,40100.4,28440,11660.4,6/1/2014,6, June ,2014
Midmarket,Canada, VTT , Medium ,2844,250,15,42660,2559.6,40100.4,28440,11660.4,6/1/2014,6, June ,2014
Enterprise,United States of America, Amarilla , High ,2844,260,125,355500,49770,305730,341280,-35550,5/1/2014,5, May ,2014
Government,Mexico, Paseo , High ,2851,10,350,997850,149677.5,848172.5,741260,106912.5,5/1/2014,5, May ,2014
Government,Canada, Carretera , Low ,2851,3,7,19957,798.28,19158.72,14255,4903.72,10/1/2013,10, October ,2013
Government,Canada, Montana , Low ,2851,5,7,19957,798.28,19158.72,14255,4903.72,10/1/2013,10, October ,2013
Government,Canada, Carretera , Low ,2852,3,350,998200,19964,978236,741520,236716,12/1/2014,12, December ,2014
Government,Canada, Paseo , Low ,2852,10,350,998200,19964,978236,741520,236716,12/1/2014,12, December ,2014
Midmarket,Mexico, Velo , Medium ,2861,120,15,42915,2145.75,40769.25,28610,12159.25,1/1/2014,1, January ,2014
Government,France, Amarilla , Medium ,2876,260,350,1006600,70462,936138,747760,188378,9/1/2014,9, September ,2014
Government,Germany, Velo , Low ,2877,120,350,1006950,20139,986811,748020,238791,10/1/2014,10, October ,2014
Government,Germany, VTT , Low ,2877,250,350,1006950,20139,986811,748020,238791,10/1/2014,10, October ,2014
Government,Mexico, VTT , High ,2903,250,7,20321,2844.94,17476.06,14515,2961.06,3/1/2014,3, March ,2014
Small Business,United States of America, Paseo , Low ,2905,10,300,871500,8715,862785,726250,136535,11/1/2014,11, November ,2014
Government,United States of America, Velo , Medium ,2907,120,7,20349,1627.92,18721.08,14535,4186.08,6/1/2014,6, June ,2014
Government,United States of America, Amarilla , Medium ,2907,260,7,20349,1627.92,18721.08,14535,4186.08,6/1/2014,6, June ,2014
Channel Partners,United States of America, Paseo , High ,2914,10,12,34968,4895.52,30072.48,8742,21330.48,10/1/2014,10, October ,2014
Channel Partners,United States of America, Amarilla , High ,2914,260,12,34968,4895.52,30072.48,8742,21330.48,10/1/2014,10, October ,2014
Small Business,United States of America, Paseo , Low ,2918,10,300,875400,35016,840384,729500,110884,5/1/2014,5, May ,2014
Midmarket,United States of America, Paseo , Medium ,2931,10,15,43965,3077.55,40887.45,29310,11577.45,9/1/2013,9, September ,2013
Government,Canada, VTT , High ,2935,250,20,58700,6457,52243,29350,22893,11/1/2013,11, November ,2013
Enterprise,Canada, VTT , High ,2954,250,125,369250,55387.5,313862.5,354480,-40617.5,11/1/2013,11, November ,2013
Government,Germany, Velo , Low ,2966,120,350,1038100,20762,1017338,771160,246178,10/1/2013,10, October ,2013
Government,Germany, Amarilla , Low ,2966,260,350,1038100,20762,1017338,771160,246178,10/1/2013,10, October ,2013
Enterprise,France, Paseo , Low ,2988,10,125,373500,14940,358560,358560,0,7/1/2014,7, July ,2014
Government,Germany, Montana , High ,2992,5,20,59840,6582.4,53257.6,29920,23337.6,10/1/2013,10, October ,2013
Government,Germany, Paseo , High ,2992,10,20,59840,6582.4,53257.6,29920,23337.6,10/1/2013,10, October ,2013
Enterprise,United States of America, Paseo , Medium ,2992,10,125,374000,18700,355300,359040,-3740,3/1/2014,3, March ,2014
Small Business,United States of America, Amarilla , High ,2993,260,300,897900,89790,808110,748250,59860,3/1/2014,3, March ,2014
Government,Mexico, Paseo , Medium ,2993,10,20,59860,4788.8,55071.2,29930,25141.2,9/1/2014,9, September ,2014
Government,United States of America, Carretera , High ,2996,3,7,20972,2936.08,18035.92,14980,3055.92,10/1/2013,10, October ,2013
Government,United States of America, Montana , High ,2996,5,7,20972,2936.08,18035.92,14980,3055.92,10/1/2013,10, October ,2013
Enterprise,Germany, Amarilla , High ,3165,260,125,395625,43518.75,352106.25,379800,-27693.75,1/1/2014,1, January ,2014
Midmarket,United States of America, Amarilla , High ,3199.5,260,15,47992.5,5279.18,42713.33,31995,10718.33,7/1/2014,7, July ,2014
Channel Partners,Canada, VTT , Medium ,3244.5,250,12,38934,2725.38,36208.62,9733.5,26475.12,1/1/2014,1, January ,2014
Government,France, Amarilla , High ,3421.5,260,7,23950.5,2874.06,21076.44,17107.5,3968.94,7/1/2014,7, July ,2014
Enterprise,United States of America, Carretera , High ,3445.5,3,125,430687.5,43068.75,387618.75,413460,-25841.25,4/1/2014,4, April ,2014
Government,United States of America, Paseo , Low ,3450,10,350,1207500,48300,1159200,897000,262200,7/1/2014,7, July ,2014
Small Business,United States of America, Paseo , High ,3495,10,300,1048500,125820,922680,873750,48930,1/1/2014,1, January ,2014
Enterprise,Germany, Paseo , Medium ,3513,10,125,439125,30738.75,408386.25,421560,-13173.75,7/1/2014,7, July ,2014
Channel Partners,Canada, Amarilla , High ,3520.5,260,12,42246,4224.6,38021.4,10561.5,27459.9,4/1/2014,4, April ,2014
Enterprise,United States of America, Montana , Medium ,3627,5,125,453375,22668.75,430706.25,435240,-4533.75,7/1/2014,7, July ,2014
Midmarket,United States of America, Paseo , Medium ,3675,10,15,55125,4961.25,50163.75,36750,13413.75,4/1/2014,4, April ,2014
Small Business,Canada, Velo , Medium ,3793.5,120,300,1138050,102424.5,1035625.5,948375,87250.5,7/1/2014,7, July ,2014
Midmarket,France, Paseo , Medium ,3801,10,15,57015,3420.9,53594.1,38010,15584.1,4/1/2014,4, April ,2014
Small Business,Canada, Montana , Medium ,3802.5,5,300,1140750,102667.5,1038082.5,950625,87457.5,4/1/2014,4, April ,2014
Government,Canada, Velo , Low ,3850.5,120,20,77010,2310.3,74699.7,38505,36194.7,4/1/2014,4, April ,2014
Government,France, Velo , Low ,3864,120,20,77280,772.8,76507.2,38640,37867.2,4/1/2014,4, April ,2014
Midmarket,France, VTT , High ,3874.5,250,15,58117.5,6974.1,51143.4,38745,12398.4,7/1/2014,7, July ,2014
Government,France, Paseo , Low ,3945,10,7,27615,276.15,27338.85,19725,7613.85,1/1/2014,1, January ,2014
Midmarket,France, Velo , High ,3997.5,120,15,59962.5,7795.13,52167.38,39975,12192.38,1/1/2014,1, January ,2014
Channel Partners,Canada, Paseo , High ,4026,10,12,48312,5314.32,42997.68,12078,30919.68,7/1/2014,7, July ,2014
Enterprise,Germany, Amarilla ,,4219.5,260,125,527437.5,0,527437.5,506340,21097.5,4/1/2014,4, April ,2014
Enterprise,France, Carretera , Low ,4243.5,3,125,530437.5,15913.13,514524.38,509220,5304.38,4/1/2014,4, April ,2014
Government,Canada, Paseo , Low ,4251,10,7,29757,1190.28,28566.72,21255,7311.72,1/1/2014,1, January ,2014
Government,United States of America, Paseo , Low ,4492.5,10,7,31447.5,314.48,31133.03,22462.5,8670.53,4/1/2014,4, April ,2014
